Nama,Program Studi
NANI SINTIAWATI,Pendidikan Luar Sekolah (S1)
SUBIKI,Pendidikan Fisika (S1)
YENI PUSPITA,Perpajakan (D3)
ROBERTOES KOEKOEH KOENTJORO WIBOWO,Profesi Insinyur (Profesi)
DIAH WAHYUNI,Pendidikan  IPA (S1)
WELAYATURROMADHONA,Teknik Perminyakan (S1)
HOLIF FITRIYAH,Gizi (S1)
SATRYO BUDI UTOMO,Teknologi Rekayasa Elektronika (D4)
ALFIAN FUTUHUL HADI,Matematika (S2)
INAYAH SWASTI RATIH,Ekonomi Pembangunan (S1)
AGUS SUPRIONO,Agribisnis (S1)
AGUNG TJAHJO NUGROHO,Fisika (S2)
MOCHAMMAD IQBAL,Pendidikan Biologi (S1)
DIDIK SUHARIJADI,Sastra Indonesia (S1)
BAMBANG SRI KALOKO,Teknik Elektro (S2)
AGUSTINA PRADJANINGSIH,Matematika (S2)
IRMA PRASETYOWATI,Ilmu Kesehatan Masyarakat (S2)
HELDA WIKA AMINI,Teknik Kimia (S1)
FINA ZAHRA,Televisi Dan Film (S1)
WHENY KHRISTIANTO,Ilmu Administrasi (S2)
HAIRRUDIN,Pendidikan Dokter (S1)
HARI PURNOMO,Ilmu Pertanian (S3)
HADI PARAMU,Ilmu Manajemen (S3)
AYU PUSPITA ARUM,Ilmu Pertanian (S1)
HIKMAH BUROIDAH,Pendidikan Biologi (S1)
TRI WAHYU SAPUTRA,Agroteknologi (S1)
IMAM SUROSO,Manajemen (S2)
ROKHANI,Penyuluhan Pertanian (S1)
ERTI IKHTIARINI DEWI,Ners (Profesi)
MUTMAINNAH,Fisika (S1)
SURATNO,Pendidikan Ilmu Pengetahuan Alam (S3)
ZAINURI,Ekonomi Pembangunan (S1)
RENA YUNITA RAHMAN,Agribisnis (S1)
JEFRI RIESKI TRIYANTO,Pendidikan Sejarah (S1)
ORIA ALIT FARISI,Ilmu Pertanian (S1)
BAMBANG WIBISONO,Ilmu Linguistik (S2)
ULIN NUHA,Pendidikan  IPA (S1)
RETNO WIMBANINGRUM,Biologi (S1)
SYAIFUDDIN KURNIANTO,Keperawatan (Kampus Kota Pasuruan) (D3)
BHIM PRAKOSO,Ilmu Hukum (S1)
AISYAH NUR ATIKA,Pendidikan Guru Pendidikan Anak Usia Dini (S1)
RENDRA CHRIESTEDY PRASETYA,Pendidikan Dokter Gigi (S1)
MOHAMAD AGUNG PRAWIRA NEGARA,Teknik Elektro (S1)
FAHROBBY ADNAN,Sistem Informasi (S1)
SUWALI,Agribisnis (S1)
EDY WAHYUDI,Ilmu Administrasi (S3)
SUSI SETIAWANI,Pendidikan Matematika (S1)
IRAWAN FAJAR KUSUMA,Pendidikan Dokter (S1)
PUDJO SUHARSO,Pendidikan Ilmu Pengetahuan Sosial (S2)
PUDJO SUHARSO,Pendidikan Ilmu Pengetahuan Sosial (S2)
IRWANTO SUCIPTO,Agroteknologi (S1)
YUDI WICAKSONO,Bioteknologi (S2)
ANA MUFIDAH,Kesekretariatan (D3)
BAGUS SIGIT SUNARKO,Ilmu Hubungan Internasional (S1)
ROSITA INDRAYATI,Ilmu Hukum (S1)
SUSANTO,Pendidikan Matematika (S3)
ROBBY REZA ZULFIKRI,Ekonomi Syariah (S1)
ERMANTO FAHAMSYAH,Kenotariatan (S2)
ANAK AGUNG ISTRI RATNADEWI,Kimia (S2)
SYUBBANUL WATHON,Biologi (S1)
NURUL UMAMAH,Pendidikan Sejarah (S1)
IKWAN SETIAWAN,Sastra Inggris (S1)
SISWOYO,Kimia (S2)
AGUSTINA DEWI SETYARI,Sastra Indonesia (S1)
SULISTIYANI,Kesehatan Masyarakat (S1)
YOSEFA SAYEKTI,Akuntansi (S2)
M. HABIBULLAH ARIEF,Sistem Informasi (S1)
PANAKAJAYA HIDAYATULLAH,Televisi Dan Film (S1)
SOETRIONO,Agribisnis (S2)
LIONI ANKA MONALISA,Pendidikan Matematika (S1)
DWI KOKO PRATOKO,Farmasi (S1)
ARIEF TUKIMAN HENDRAWIJAYA,Pendidikan Dasar (S2)
NINDYA NURDIANASARI,Pendidikan Guru Sekolah Dasar (S1)
MISTO,Fisika (S1)
WHEDY PRASETYO,Ilmu Akuntansi (S3)
NINDHA AYU BERLIANTI,Fisika (S1)
JAUHAR FIRDAUS,Pendidikan Dokter (S1)
RIZA YULI RUSDIANA,Agronomi (S1)
SITI KOMARIYAH,Ilmu Ekonomi (S2)
ROBIT NURUL JAMIL,Pendidikan Sejarah (S1)
SUMARJI,Teknik Konstruksi Perkapalan (S1)
ERNASARI,Unknown
SULIFAH APRILYA HARIANI,Pendidikan Biologi (S2)
HARI SUKARNO,Manajemen (S1)
WYDHA MUSTIKA MAHARANI,Ilmu Administrasi Negara (S1)
MIFTAHUL CHOIRON,Teknologi Industri Pertanian (S1)
TITIK MASLIKATIN,Sastra Indonesia (S1)
SONYA SULISTYONO,Teknik Sipil (S1)
DWI DJUMHARIYANTO,Teknik Mesin (S1)
ARRY YUARIATUN NURHAYATI,Fisika (S1)
HALIMATUS SA'DIYAH,Agronomi (S1)
SEBASTIANA VIPHINDRARTIN,Ilmu Ekonomi (S3)
MUH ASNOER LAAGU,Teknik Elektro (S1)
BOWO EKO CAHYONO,Fisika (S2)
BENY PRASETYO,Sistem Informasi (S1)
RATIH NOVI LISTYAWATI,Perencanaan Wilayah dan Kota (S1)
SJAFRUDDIN,Ekonomi Syariah (S1)
DIAH AYU RETNANI WULANDARI,Teknologi Informasi (S1)
SUNARDI,Unknown
SRI KANTUN,Unknown
RISKA AYU FEBRIANTI,Teknologi Hasil Pertanian (S1)
AUDIANANTI MEGANANDI KARTINI,Teknik Lingkungan (S1)
INDRI FARIROH,Agronomi (S1)
AGUS SUBEKTI,Fisika (S2)
DIMAS B. ZAHROSA,Agribisnis (S1)
JANUAR FERY IRAWAN,Teknik Pertambangan (S1)
ADHITYA WARDHONO,Ekonomi Pembangunan (S1)
TRI RATNASARI,Agroteknologi (S1)
ANA NISTIANDANI,Ilmu Keperawatan (S1)
IKA OKTAVIANAWATI,Kimia (S1)
NINA WIJIANI,Profesi Apoteker (Profesi)
GATOT SUBROTO,Ilmu Pertanian (S1)
ERWIN NUR RIF'AH,Administrasi Kesehatan (S2)
DINAWATI TRAPSILASIWI,Pendidikan Profesi Guru (Profesi)
RONI YULIANTO,Unknown
NOVIA FAIZATIWAHIDA,Ilmu Keperawatan (S1)
GAUTAMA BUDI ARUNDHATI,Ilmu Hukum (S1)
RAUDLATUL JANNAH,Sosiologi (S1)
