Nama,Program Studi
MUHAMMAD IHWAN NARWANTO,Pendidikan Dokter (S1)
DEWI DIANASARI,Profesi Apoteker (Profesi)
Zarah Puspitaningtyas,Ilmu Administrasi (S3)
YULIANI SETIA DEWI,Matematika (S1)
FX ADY SOESETIJO,Ilmu Kesehatan Masyarakat (S2)
SITI YOLANDA RAHMAN UTAMI,Ilmu Administrasi Niaga (S1)
RULLY PUTRI NIRMALA PUJI,Pendidikan Sejarah (S1)
RISKA RIAN FAUZIAH,Teknologi Hasil Pertanian (S1)
ZAINUL CHOLID,Dokter Gigi (Profesi)
MOCHAMAD ILHAM,Sastra Inggris (S1)
FAJRI MAULANA,Ilmu Administrasi Negara (S1)
ANDRIANA,Akuntansi (S1)
RENY INDRAYANI,Kesehatan Masyarakat (S1)
IWAN TARUNA,Teknik Pertanian (S1)
AGUNG BUDI SANTOSO,Kimia (S1)
RULI BAHYU ANTIKA,Gizi (S1)
HARY SUTJAHJONO,Teknik Mesin (S1)
NUNING DWI MERINA,Ilmu Keperawatan (S1)
CHOLIS ABRORI,Pendidikan Dokter (S1)
IKARINI DANI WIDIYANTI,Ilmu Hukum (S1)
DITA DIANA PARTI,Dokter (Profesi)
KISWALUYO,Dokter Gigi (Profesi)
JANUAR ADI PUTRA,Informatika (S1)
ASRI SUNDARI,Unknown
DANO QUINTA REVANA,Perencanaan Wilayah dan Kota (S1)
NURHASANAH,Pendidikan Guru Sekolah Dasar (S1)
PRATIWI PUSPITHO ANDINI,Ilmu Hukum (S1)
FATHAN FIHRISI,Pendidikan Guru Sekolah Dasar (S1)
HAFIEDZ MAULANA,Pendidikan Dokter Gigi (S1)
YANUARESTI KUSUMA WARDHANI,Sastra Inggris (S1)
ASMAK AFRILIANA,Teknologi Hasil Pertanian (S1)
MUHAMMAD AFIFUL JAUHANI,Dokter (Profesi)
NOVAN KRISNO ADJI,Dokter (Profesi)
ACH. FAUZAN MAS'UDI,Agroteknologi (S1)
AFIFAH MACHLAURIN,Farmasi (S2)
MUHAMMAD DIMYATI NASHRULLAH,Teknik Mesin (S1)
PUJIANA ENDAH LESTARI,Pendidikan Dokter Gigi (S1)
SUPERZEKI ZAIDATUL FADILAH,Ilmu Keperawatan (S1)
LISANA OKTAVISANTI MARDIYANA,Pendidikan Ekonomi (S1)
CHANDRA AYU PROBORINI,Pendidikan Guru Sekolah Dasar (S1)
SINTA WIJAYANTI,Ners (Profesi)
CHANDRA AYU PROBORINI,Pendidikan Guru Sekolah Dasar (S1)
FADHEL AKHMAD HIZHAM,Informatika (S1)
IKE FIBRIANI,Teknologi Rekayasa Elektronika (D4)
ALFREDO BAYU SATRIYA,Teknik Elektro (S1)
ALI BADRUDIN,Sastra Indonesia (S1)
LELA NUR SAFRIDA,Pendidikan Matematika (S1)
IRLIANA FAIQOTUL HIMMAH,Pendidikan Luar Sekolah (S1)
NYOMAN GEDE KRISHNABUDI,Manajemen Perusahaan (D3)
AZMI SALEH,Teknik Elektro (S2)
IMMAWAN WICAKSONO,Profesi Insinyur (Profesi)
WASITO,Akuntansi (S1)
LUSIA OKTORA RUMA KUMALA SARI,Farmasi (S1)
M RIZQON AL MUSAFIRI,Pendidikan Geografi (S1)
AGUS SARIONO,Ilmu Linguistik (S2)
FRANCISCUS XAVERIUS KRISTIANTA,Profesi Insinyur (Profesi)
SRI MARIATI,Unknown
CATUR SUKO SARWONO,Teknik Elektro (S1)
WIDYA KRISTIYANTI PUTRI,Agronomi (S1)
AKHMAD MUNIR,Ekonomi Syariah (S1)
MUHAMMAD LUTFI,Pendidikan Guru Sekolah Dasar (S1)
MARYANI,Pendidikan Fisika (S1)
CINDERA ROSA DAMASCENA,Agribisnis (S1)
FAQIH ULIL ABSHOR,Pendidikan Ekonomi (S1)
ZULFIKAR,Kimia (S1)
BAMBANG SUHARJITO,Pendidikan Profesi Guru (Profesi)
AYU CITRA SANTYANINGTYAS,Ilmu Hukum (S1)
CHRISTYANA SANDRA,Kesehatan Masyarakat (S1)
FAUZIATUN NISAK,Ilmu Pertanian (S1)
IMAMATIN LISTYA PUTRI,Akuntansi (S1)
SETIYONO,Ilmu Pertanian (S1)
ROSNIDA SARI,Sosiologi (S1)
ABDUR ROHMAN,Teknik Lingkungan (S1)
M. FARRAS ABIYYUDDIN,Teknologi Hasil Pertanian (S1)
TOTO BARA SETIAWAN,Unknown
GURUH PRASETYO,Pendidikan Sejarah (S1)
DEWIANTI KHAZANAH,Sastra Inggris (S1)
RISWANDHA IMAWAN,Ilmu Hukum (S1)
SRI ANA HANDAYANI,Ilmu Sejarah (S1)
ARYO FAJAR SUNARTOMO,Penyuluhan Pertanian (S1)
HABIBAH KHUSNA BAIHAQI,Pendidikan Fisika (S1)
ASIH SANTI HASTUTI,Pendidikan Bahasa Inggris (S1)
DEWI ANGELINA,Sastra Indonesia (S1)
NIKEN WIDYA PALUPI,Teknologi Hasil Pertanian (S1)
SHINTA DIAH PUSPANINGTYAS,Teknologi Industri Pertanian (S1)
MURNI HERMAWATY SITANGGANG,Ilmu Keperawatan (S1)
ERI WITCAHYO,Kesehatan Masyarakat (S1)
ACHMAD GUNADI,Unknown
SEPTARINA PRITA DANIA SOFIANTI,Akuntansi (S1)
INDAH PURNAMAWATI,Akuntansi (D3)
KHOIRUNNISA' AFANDI,Sistem Informasi (S1)
AGUS ARIFANDI,Pendidikan Guru Sekolah Dasar (S1)
INDAH PURNAMAWATI,Akuntansi (D3)
LILIK FARIDA,Kesekretariatan (D3)
BAMBANG IRAWAN,Manajemen (S2)
MUHAMMAD ILHAM NAUFAL,Manajemen (S1)
ROBERTUS SIDARTAWAN,Rekayasa Perancangan Mekanik (D4)
ARIEF RIJADI,Pendidikan Profesi Guru (Profesi)
SEPTA SURYA WAHYUDI,Pendidikan Dokter (S1)
"INGE WILIANDANI SETYA PUTRI, S.PD., M.PD",Pendidikan Matematika (S1)
HARI SATRIJONO,Unknown
LAKSMI INDRESWARI,Pendidikan Dokter (S1)
VENANTYA ASMANDANI,Perpajakan (D3)
ERISKA EKLEZIA DWI SAPUTRI,Teknik Perminyakan (S1)
RENDY ANGGRIAWAN,Ilmu Tanah (S1)
I DEWA AYU RATNA DEWANTI,Bioteknologi (S3)
SITI MARIA WARDAYATI,Ilmu Akuntansi (S3)
MUHAMMAD GHUFRON ROSYADY,Ilmu Pertanian (S1)
ZAKIYAH TASMIN,Pendidikan Bahasa Inggris (S1)
HADI SAMPURNA,Sastra Inggris (S1)
HADI SAMPURNA,Sastra Inggris (S1)
YULIA INDRAWATI,Ilmu Ekonomi (S3)
RISKIA SETIARINI,Sastra Inggris (S1)
HAT PUJIATI,Sastra Inggris (S1)
EKO SUWARGONO,Sastra Inggris (S1)
TEDY PRANADIARSO,Teknik Sipil (S1)
ANITA DEWI PRAHASTUTI SUJOSO,Kesehatan Masyarakat (S1)
SAPTI PRIHATMINI,Ilmu Hukum (S1)
KADEK NOVI ANDANI,Ners (Profesi)
DHUHA ITSNANISA ADI,Kesehatan Masyarakat (S1)
ANDI ULFIANA UTARI,Unknown
IKA SISBINTARI,Ilmu Administrasi (S2)
NURCAHYANING DWI KUSUMANINGRUM,Perpajakan (D3)
KRISTIANNINGRUM DIAN SOFIANA,Pendidikan Dokter (S1)
RACHMAT UDHI PRABOWO,Agribisnis (S1)
YENI MAULIDAH MUFLIHAH,Kimia (S2)
CHOIRUL HUDHA,Pendidikan Ekonomi (S1)
AGUS DHARMAWAN,Teknik Pertanian (S1)
SYARIPIN,Teknik Sipil (S1)
"R, PURANGGO GANJAR WIDITYO",Teknik Konstruksi Perkapalan (S1)
YUSTRI BAIHAQI,Penyuluhan Pertanian (S1)
MOHAMAD WAWAN SUJARWO,Teknik Pertanian (S1)
NARANDHA ARYA RANGGIANTO,Teknologi Informasi (S1)
AHMAD FARID ARDIANSYAH,Teknik Sipil (S1)
AMINATUN NISA,Agroteknologi (S1)
NISWAH SELMI KAFFA,Teknik Sipil (S1)
KUNI ZU'AIMAH BARIKAH,Farmasi (S1)
PIPIET WULANDARI,Pendidikan Dokter (S1)
TAUFAN ASRISYAH ODE,Kesehatan Masyarakat (S1)
IMAM RUDI SUGARA,Teknik Mesin (S1)
NIMAL BAROYA,Kesehatan Masyarakat (S1)
SHINTA SYAFRINA ENDAH HAPSARI,Teknologi Industri Pertanian (S1)
ADELIA FIRANDI,Farmasi (S1)
ARETA PUSPA,Pendidikan Bahasa Inggris (S1)
RARA MUSTIKA N,Televisi Dan Film (S1)
R B MOCH. GOZALI,Teknik Elektro (S1)
HILMA WASILAH ROBBANI,Teknik Sipil (S1)
MOCHAMMAD FARID AFANDI,Manajemen (S1)
ELYDA AKHYA AFIDA MISROHMASARI,Pendidikan Dokter Gigi (S1)
SAMUEL SAUT MARTUA SAMOSIR,Ilmu Hukum (S1)
ATIK RAHMAWATI,Ilmu Kesejahteraan Sosial (S1)
NIDYA SHARA MAHARDIKA,Teknologi Industri Pertanian (S1)
MUHAMMAD ANDRYAN WAHYU SAPUTRA,Informatika (S1)
DIAN AGUNG PANGARIBOWO,Farmasi (S1)
CICIH KOMARIAH,Pendidikan Dokter (S1)
MILLATUZ ZAHROH,Matematika (S1)
MALIATUL FITRIYASARI,Unknown
IRANA ASTUTININGSIH,Sastra Inggris (S1)
LUSI HIDAYATI,Pendidikan Dokter Gigi (S1)
MUHAMMAD ARGA HITA,Teknologi Industri Pertanian (S1)
RUDJU WINARSA,Biologi (S1)
SUSANTI PRASETIYANINGTIYAS,Manajemen (S1)
TITIK SUGIARTI,Unknown
SUGENG ARIYANTO,Unknown
FIVIEN MUSLIHATINNINGSIH,Ekonomi Pembangunan (S1)
TATANG MAULANA MALIQ,Teknik Sipil (S1)
KHAERANI NURLAELITA,Proteksi Tanaman (S1)
SISWANTO,Biologi (S1)
DHIAN KRISTANTININGTYAS,Akuntansi (D3)
NOVA EL MAIDAH,Teknologi Informasi (S1)
MAISAROH CHOIROTUNNISA,Ilmu Kesejahteraan Sosial (S1)
ELOK FARADISA,Ilmu Keperawatan (S1)
WIWIN HARTANTO,Pendidikan Ekonomi (S1)
HENDRIJAYA PERMANA,Unknown
NURHADI SASMITA,Ilmu Sejarah (S1)
ERMITA RIZKI ALBIRRI,Pendidikan Matematika (S1)
FAJRIN NURMAN ARIFIN,Sistem Informasi (S1)
ROCHMAN EFFENDI,Akuntansi (D3)
NUR ANDITA PRASETYO,Agroteknologi (S1)
IWAN RACHMAD SOETIJONO,Ilmu Hukum (S1)
NUR ANDITA PRASETYO,Agroteknologi (S1)
RESKI YULINA WIDIASTUTI,Pendidikan Guru Pendidikan Anak Usia Dini (S1)
SUBHAN ARIF BUDIMAN,Ilmu Tanah (S1)
RETNA NGESTI SEDYATI,Pendidikan Ilmu Pengetahuan Sosial (S2)
YOHANA MARIA PENGA,Pendidikan Dokter Gigi (S1)
KAMALIA FIKRI,Pendidikan Biologi (S1)
HILMA AZMI AZIZAH,Pendidikan Bahasa Dan Sastra Indonesia (S1)
DWI ENDAH NURHAYATI,Ilmu Hukum (S1)
DWI WARNA AJU FATMAWATI,Dokter Gigi (Profesi)
EMI ZULAIKA,Ilmu Hukum (S1)
YUNIARTA SYARIFATUL UMAMI,Pendidikan Guru Pendidikan Anak Usia Dini (S1)
EZA GUSTI ANUGERAH,Akuntansi (S1)
ALBERT TALLAPESSY,Sastra Inggris (S1)
SUHARTININGSIH,Pendidikan Guru Sekolah Dasar (S1)
MOHAMMAD ZARKASI,Teknologi Informasi (S1)
DEWI AYU PUSPITA,Akuntansi (S1)
LIDYA AMELIANA,Profesi Apoteker (Profesi)
BUNGA MAHARANI,Akuntansi (S1)
NINDYA SHINTA RUMASTIKA,Pendidikan Dokter (S1)
KATARINA LEBA,Sistem Informasi (S1)
HOBRI,Unknown
NURHADIANTY RAHAYU,Sastra Inggris (S1)
HALIF,Ilmu Hukum (S1)
HIDAYAT TEGUH WIYONO,Unknown
GAYATRI DWI SANTIKA,Informatika (S1)
NADIYA LIFA NINGRUM,Unknown
DEWIK UNTARAWATI,Ilmu Sejarah (S1)
NADIA ROHMATUL LAILI,Keperawatan (Kampus Kota Pasuruan) (D3)
DWI WAHYUNI,Pendidikan Ilmu Pengetahuan Alam (S2)
ADHININGASIH PRABHAWATI,Ilmu Hubungan Internasional (S1)
HARY YUSWADI,Unknown
EKA PUSPA DEWI,Ekonomi Syariah (S1)
FISKA MAULIDIAN NUGROHO,Ilmu Hukum (S1)
RIKA DWI HIDAYATUL QORYAH,Rekayasa Perancangan Mekanik (D4)
SISWOYO,Ilmu Keperawatan (S1)
I WAYAN YASA,Ilmu Hukum (S1)
I MADE SATYA GRAHA,Perencanaan Wilayah dan Kota (S1)
WIWIEK SRI WAHYUNI,Unknown
DIAN ANGGRAENI,Unknown
MARGARETTA ANDINI NUGROHO,Usaha Perjalanan Wisata (D3)
MARGARETTA ANDINI NUGROHO,Usaha Perjalanan Wisata (D3)
CEMPAKA PARAMITA,Kesekretariatan (D3)
DIDIK PUDJO MUSMEDI,Manajemen (S1)
NOVI WULANDARI WIDIYANTI,Akuntansi (S1)
ROBBY PRIHADI AULIA ERLANDO,Ners (Profesi)
EMANUEL GRACE MANEK,Teknik Pertambangan (S1)
RINDA HANDAYANI,Ilmu Sejarah (S1)
EKA BAMBANG GUSMINTO,Manajemen Perusahaan (D3)
BUDI YUWONO,Dokter Gigi (Profesi)
HAIRUS SALIKIN,Ilmu Linguistik (S2)
MARJONO,Pendidikan Sejarah (S1)
MUHAMMAD AGUNG PRAMONO PUTRO,Pendidikan Sejarah (S1)
SINTA RACHMAWATI,Profesi Apoteker (Profesi)
RIZKY ALFANIO ATMOKO,Informatika (S1)
TRI DAMAYANTI SIMANJUNTAK,Kesehatan Masyarakat (S1)
ADELIA HANDOKO,Pendidikan Dokter (S1)
SORAYA FIRDAUSI,Pendidikan  IPA (S1)
INNA ARMANDARI,Pendidikan Dokter (S1)
KETUT ANOM WIJAYA,Unknown
RUDI WIBOWO,Unknown
LAILY NUR AISIYAH,Pendidikan Guru Pendidikan Anak Usia Dini (S1)
AISAH JUMIATI,Ekonomi Pembangunan (S1)
HUSNUNNIDA MAHARANI,Akuntansi (S1)
MIRATUL HASANAH,Pendidikan Dokter (S1)
ELOK PERMATASARI,Kesehatan Masyarakat (S1)
LEADER FIRSTANDIKA,Teknologi Industri Pertanian (S1)
DENNY ANTYO HARTANTO,Televisi Dan Film (S1)
LITUHAYU SAUSAN SUPARTININGRUM YUDIANSYAH,Teknologi Industri Pertanian (S1)
NURIMAN,Pendidikan Dasar (S2)
ERDI ISTIAJI,Kesehatan Masyarakat (S1)
SUDARKO,Kimia (S1)
PURWATININGSIH,Biologi (S2)
ARJU MUTIAH,Pendidikan Dasar (S2)
BAGUS JULIYANTO,Matematika (S1)
FRANCISCUS ADI PRASETYO,Ilmu Kesejahteraan Sosial (S1)
WAHYUNI MAYANGSARI,Ilmu Kesejahteraan Sosial (S1)
UTARI RETNO SULISTYO RINI,Teknik Pertambangan (S1)
EKO CRYS ENDRAYADI,Ilmu Sejarah (S1)
MUHAMAD BADRUL MUTAMMAM,Pendidikan Matematika (S1)
REBECHA PRANANTA,Usaha Perjalanan Wisata (D3)
MUHAMAD BADRUL MUTAMMAM,Pendidikan Matematika (S1)
SUPRIYADI,Pendidikan Dokter Gigi (S1)
BAGAS RAHMANDITA SUBCHAN,Teknologi Rekayasa Konstruksi Bangunan Gedung (D4)
M. SULTHON MASYHUD,Pendidikan Dasar (S2)
GHOLIQUL AMRODH ALAWY,Teknik Sipil (S1)
IMAM MAS UD,Akuntansi (S1)
SUKRON MAKMUN,Ilmu Administrasi Negara (S1)
ALMAS FARAH DINNA DEWI,Manajemen (S1)
ECHWAN IRIYANTO,Ilmu Hukum (S1)
KUSBUDIONO,Matematika (S1)
MUHAMMAD KHOIDIN,Ilmu Hukum (S2)
ALIF MIRZANIA,Administrasi Keuangan (D3)
TRIA PUTRI NOVIASARI,Manajemen (S1)
I PUTU SUKMA ANTARA,Unknown
MARETA DEKA PARASWATI,Keperawatan (Kampus Kota Pasuruan) (D3)
KOSALA DWIDJA PURNOMO,Matematika (S1)
SUPARDI,Unknown
CITRA ANGGUN KINANTHI,Kesehatan Masyarakat (S1)
IKA DEWI SUMIATI,Pendidikan  IPA (S1)
OKYVIANDI PUTRA ERLANGGA,Ekonomi Syariah (S1)
EMA RACHMAWATI,Farmasi (S1)
TIARA,Pendidikan Ekonomi (S1)
VIVI DARMAYANTI,Pendidikan Guru Sekolah Dasar (S1)
ERAWATI WULANDARI,Dokter Gigi (Profesi)
EKA PUSPITA KARTIKA SARI,Pendidikan  IPA (S1)
UMMI MALIKAL BALQIS,Ners (Profesi)
ZAKI PRIAMBUDI,Unknown
AHMAD NAFI,Teknologi Hasil Pertanian (S1)
NUR HISAMUDDIN,Akuntansi (D3)
RIFA'I SHODIQ FATHONI,Ilmu Sejarah (S1)
RIFA'I SHODIQ FATHONI,Ilmu Sejarah (S1)
CHILWATUN NASIROH,Pendidikan Fisika (S1)
AKHMAD MUNIF MUBAROK,Ilmu Kesejahteraan Sosial (S1)
FITRI NURA MURTI,Pendidikan Bahasa Dan Sastra Indonesia (S1)
AKBAR PANDU SEGARA,Teknologi Informasi (S1)
AGUS SUHARSONO,Ilmu Administrasi Negara (S1)
RAFAEL PURTOMO SOMAJI,Unknown
SUMARJONO,Unknown
AHMAD ARIF BUDIMAN NASUTION,Pendidikan Sejarah (S1)
KETUT INDRANINGRAT,Administrasi Keuangan (D3)
SUMANI,Manajemen (S1)
"SUWARDI, M.H.I.",Ilmu Hukum (S1)
ROHMAHILLAH AVISKANASYA SEPTIANDRI,Teknik Sipil (S1)
LAILIYATUL MUNAWAROH,Ilmu Keperawatan (S1)
DENNA ERIANI MUNANDAR,Agronomi (S1)
FIRDA FADRI,Matematika (S1)
HIMAWAN BAYU PATRIADI,Ilmu Hubungan Internasional (S1)
RIZKI FEBRI ANDIKA HUDORI,Pendidikan Bahasa Inggris (S1)
IKHSANUL HALIKIN,Matematika (S1)
ELVIA RAHMI MARGA PUTRI,Pendidikan Dokter (S1)
GALUH PUSPANINGRUM,Ilmu Hukum (S1)
BABAS SAMUDERA HAFWANDI,Teknik Perminyakan (S1)
ANA YULVIA,Kimia (S1)
RIZKY ATIKA SALSABILA IVABIANCA PUTRI,Manajemen (S1)
Leni Rokhma Dewi,Pendidikan Dokter Gigi (S1)
ENY NURMAIDA,Pendidikan Dokter (S1)
DJOKO WAHYUDI,Unknown
VANADANI PRANANTYA,Teknik Sipil (S1)
FIRDA LUTFIATUL FITRIA,Teknik Lingkungan (S1)
WANTIYAH,Ilmu Keperawatan (S1)
KHUTOBAH,Unknown
VIKO NURLUTHFIYADI NI'MATURRAKHMAT,Teknologi Industri Pertanian (S1)
ERWINA SAFITRI,Gizi (S1)
MUKHAMMAD HYKHAL SHOKAT ALI,Ilmu Hukum (S1)
"PULONG WIJANG PRALAMPITA, M.D., PH.D.",Unknown
MAHFUDZ SIDIQ,Ilmu Kesejahteraan Sosial (S1)
DEWI IKA AINURROFIQOH,Matematika (S1)
RUDIANTO,Teknik Konstruksi Perkapalan (S1)
DINA FITRIA HASANAH,Pendidikan Bahasa Dan Sastra Indonesia (S1)
VADIRA RAHMA SARI,Gizi (S1)
ANNISA PRATIWI,Keperawatan (D3)
VADIRA RAHMA SARI,Gizi (S1)
RINIATI,Ilmu Ekonomi (S2)
WELDY NUGROHO DETAGORY,Pendidikan Guru Sekolah Dasar (S1)
"IRWAN EFFENDI, S.H., M.H.LI",Ilmu Hukum (S1)
TRI AGUSTINA NUGRAHANI,Sistem Informasi (S1)
MASNIARI NOVITA,Pendidikan Dokter Gigi (S1)
SUHARTO,Ilmu Sejarah (S1)
MIRRIYADHIL JANNAH,Teknologi Hasil Pertanian (S1)
SIH YUWANTI,Teknologi Agroindustri (S2)
DJOKO SUSILO,Unknown
SIH YUWANTI,Teknologi Agroindustri (S2)
GAMA WISNU FAJARIANTO,Informatika (S1)
INDAH WAHYUNINGSIH,Sastra Inggris (S1)
MAHRIANI,Unknown
ELISABETH FRANSISKA SIBARANI,Manajemen (S1)
SULISTIYANI,Dokter Gigi (Profesi)
DIMAS BAGUS CAHYANINGRAT W,Kesehatan Masyarakat (S1)
SUJI,Ilmu Administrasi (S2)
SELA RACHMAWATI,Pendidikan Ekonomi (S1)
OFRI SOMANEDO,Pendidikan Luar Sekolah (S1)
M. YUSUF,Ilmu Hukum (S1)
LOETVY WAHYUNINGTIYAS,Perencanaan Wilayah dan Kota (S1)
KURNIASARI NOVI HARDANTI,Akuntansi (S1)
ANDRIANA KUSUMA PERTIWI,Kimia (S1)
NOVA SHUFIA TAHMIDA,Unknown
SAIFUDDIN HASJIM,Proteksi Tanaman (S1)
AJI PURNOMO,Ilmu Hukum (S1)
HUSNI MUBARAK,Ilmu Hukum (S1)
LYYA SUPRIONO,Profesi Insinyur (Profesi)
HUSNI MUBARAK,Ilmu Hukum (S1)
NUR FITRI WIDYA ASTUTI,Kesehatan Masyarakat (S1)
FONNYTA LAURENZIA ROSIGA,Ilmu Hukum (S1)
LUKMAN OKTADIANTO,Dokter (Profesi)
DESY LISTYANINGRUM,Ilmu Keperawatan (S1)
EKO PRIYANTONO,Teknologi Hasil Pertanian (S1)
JHON JHOHAN PUTRA KUMARA DEWA,Perencanaan Wilayah dan Kota (S1)
IMAM ROFII,Fisika (S1)
ANDI SETIAWAN,Unknown
TREE SETIAWAN PAMUNGKAS,Ilmu Administrasi Negara (S1)
DEWI CAESARIA FITRIANI,Ilmu Keperawatan (S1)
TREE SETIAWAN PAMUNGKAS,Ilmu Administrasi Negara (S1)
SALAHUDDIN RIJAL ARIFIN,Administrasi Keuangan (D3)
MUTIARA BILQIS,Pendidikan Bahasa Inggris (S1)
DWI RISKI SAPUTRA,Unknown
ANITA WIDJAJANTI,Pendidikan Bahasa Dan Sastra Indonesia (S1)
MADE ADI ANDAYANI T,Pendidikan Bahasa Inggris (S1)
DAMAR NOVTAHANING,Informatika (S1)
AYU MASHARTINI PRIHANTI,Dokter Gigi (Profesi)
YAYUK MARDIATI,Unknown
NOVIA TRI HAPSARI,Pendidikan Ekonomi (S1)
ALIF RIZKI ULIL ALBAB,Teknologi Industri Pertanian (S1)
PASANG BUDY ALL SHODIQ,Pendidikan Sejarah (S1)
PARTO,Pendidikan Bahasa Dan Sastra Indonesia (S1)
ARIS PRASETYO,Pendidikan Dokter (S1)
KRISTIANA WIJAYA,Matematika (S2)
SITI MUTMAINAH,Pendidikan Bahasa Dan Sastra Indonesia (S1)
SHIMA KUNAZA FAZIRA,Pendidikan Matematika (S1)
MARTIANA KHOLILA FADHIL,Sistem Informasi (S1)
JATI ARIFIYANTI,Sosiologi (S1)
WURYANTI HANDAYANI,Kimia (S1)
NURUL PRIYANTARI,Fisika (S1)
DJOKO POERNOMO,Ilmu Administrasi (S3)
ANWAR,Ilmu Administrasi Negara (S1)
ADELIA NUR ISNA KARTIKASARI,Teknik Sipil (S1)
MERYMISTIKA YUFRANI AFRED,Teknik Kimia (S1)
DIANIDZA ARODHA,Ekonomi Syariah (S1)
SALWA NIRWANAWATI,Ilmu Keperawatan (S1)
HAIDZAR NURDIANSYAH,Rekayasa Perancangan Mekanik (D4)
PRA ADI SOELISTIJONO,Ilmu Hubungan Internasional (S1)
AAN ERLYANA FARDHANI,Pendidikan Bahasa Inggris (S2)
YOHANES SUDARMANTO,Pendidikan Dokter (S1)
IRAWATI NUR INDAH SARI,Teknologi Hasil Pertanian (S1)
I NYOMAN ADI WINATA,Unknown
INKE KUSUMASTUTI,Pendidikan Dokter (S1)
NUR IDA WINNI YOSIKA,Teknik Pertanian (S1)
ASHARIN SINDY SAFIRAH,Ilmu Hukum (S1)
EVYTA ROSIYANTI RAMADHANI,Ilmu Hukum (S1)
DANANJAYA ENDI PRATAMA,Teknologi Rekayasa Elektronika (D4)
SUJITO,Fisika (S2)
JANI JANUAR,Unknown
AGUS PRIYONO,Manajemen (S1)
DWI HARYANTO,Televisi Dan Film (S1)
DYAH ARUM ARIMURTI,Pendidikan Fisika (S1)
WAJIHUDDIN,Televisi Dan Film (S1)
ABU BAKAR RAMADHAN MUHAMAD,Sastra Indonesia (S1)
PUGUH HISKIAWAN,Unknown
VANDA RAMADHANI,Dokter Gigi (Profesi)
IKHA NURJIHAN,Ilmu Keperawatan (S1)
HAJAR SYIFA FIARANI,Pendidikan Biologi (S1)
HAJAR SYIFA FIARANI,Pendidikan Biologi (S1)
FAUZIYATUL IFFAH,Pendidikan  IPA (S1)
FITRIYANA DEWI,Unknown
YUSNAN HADI MOCHTAR,Unknown
FUAT ALBAYUMI,Ilmu Hubungan Internasional (S1)
VICKY INDARTO SETYONO,Pendidikan Ekonomi (S1)
DEWI ARIYANTI SOFFI,Sosiologi (S1)
EKA DEDDY IRAWAN,Farmasi (S1)
MEISYAROH CATUR WULANDARI,Ekonomi Pembangunan (S1)
ARDHIANING HARDITA,Dokter Gigi (Profesi)
ANIS SYATUL HILMIAH,Pendidikan Sejarah (S1)
M. UBAIDILAH HASAN,Pendidikan Biologi (S1)
SWASTHI PRASETYARINI,Dokter Gigi (Profesi)
SUNLIP WIBISONO,Unknown
INDRA PERDANA WIBISONO,Usaha Perjalanan Wisata (D3)
MUCHAMMAD ARIF MUCHLISIN,Pendidikan Guru Pendidikan Anak Usia Dini (S1)
TINOK DWI ANANDA,Kimia (S1)
SILMY ARIZATUL HUMAIRA',Pendidikan Bahasa Inggris (S1)
MELINDA ERDYA KRISMAPUTRI,Peternakan (S1)
DHITA EVI ARYANI,Profesi Apoteker (Profesi)
ABBI NIZAR MUHAMMAD,Teknologi Informasi (S1)
YUKTI NURANI,Teknik Kimia (S1)
DIANA FAUZIYAH,Agribisnis (S1)
MUHAMMAD HAIDLOR,Pendidikan Guru Pendidikan Anak Usia Dini (S1)
KRISNANDA THEO PRIMADITYA,Ilmu Sejarah (S1)
ZULFA FAHRUNNISA,Teknologi Rekayasa Elektronika (D4)
MUHAMMAD MASYKUR ABDILLAH,Unknown
SISWANTO,Pendidikan Bahasa Dan Sastra Indonesia (S1)
MUSTAPIT,Penyuluhan Pertanian (S1)
RETNO TRI ASTUTI RAMADHANA,Keperawatan (D3)
SUNARDI PURWAATMOKO,Unknown
MEIDI KURNIA ARIANI,Dokter Gigi (Profesi)
SUTOYO,Biologi (S1)
"ANDIKA PUTRA ESKANUGRAHA, S.H., M.KN",Ilmu Hukum (S1)
ALI SANTOSA,Unknown
INTAN HAR ASELNA,Teknik Lingkungan (S1)
PRAMESI LOKAPRASIDHA,Usaha Perjalanan Wisata (D3)
DEVITA AYU LARASATI,Teknik Elektro (S1)
SITI SHOFA ASSYIFA'UL QULBI BARID,Pendidikan  IPA (S1)
ARIWAN JOKO NUSBANTORO,Unknown
INTA NURKHALIZA AGISKA,Teknologi Rekayasa Elektronika (D4)
DIDIK KURNIAWAN,Pendidikan Luar Sekolah (S1)
SUWITA TRI PRIHANI,Teknologi Industri Pertanian (S1)
AGNESTRIA WINARTO,Ilmu Keperawatan (S1)
MUSLI ARIANI,Pendidikan Bahasa Inggris (S2)
RATIH DELIO RAKHMADIAN,Dokter Gigi (Profesi)
DIDIK EKO JULIANTO,Unknown
SUDARNO,Akuntansi (S1)
ANASTASIA MURDYASTUTI,Unknown
FAUZIYAH AZZAHRO,Perpajakan (D3)
RICKO PRATAMA RIDZKYANTO,Kesehatan Masyarakat (S1)
ISTIYANA AFIFAH,Sosiologi (S1)
SALAHUDDIN RIJAL ARIFIN,Unknown
EKA TIYAS ANGGRAENI,Teknik Pertanian (S1)
AKBAR SETYO PAMBUDI,Teknik Pertanian (S1)
A ERNA ROCHIYATI S,Sastra Indonesia (S1)
