Nama,Program Studi
INTAN SULISTYANINGRUM SAKKINAH,Teknik Informatika (Kampus Kab Nganjuk) (D4)
PENI ARIANITA WARDANI,Destinasi Pariwisata (D4)
SHOLIHAH AYU WULANDARI,Teknik Informatika (Kampus Kab. Sidoarjo) (D4)
ELLY DARU IKA WILUJENG,Teknik Produksi Benih (D4)
SELVIA JUWITA SWARI,Manajemen Informasi Kesehatan (D4)
MUKHAMAD ANGGA GUMILANG,Teknik Informatika (D4)
RIA CHANDRA KARTIKA,Promosi Kesehatan (D4)
RAHMA RINA WIJAYANTI,Akuntansi Sektor Publik (D4)
DAHLIA INDAH AMARETA,Gizi Klinik (D4)
DEYLA PRAJNA ANINDITA HERU,Teknologi Industri Pangan (D3)
DINI NAFISATUL MUTMAINAH,Manajemen Agroindustri (Kampus Kab Sidoarjo) (D4)
IDA NURMAWATI,Manajemen Informasi Kesehatan (Kampus Kab. Ngawi) (D4)
MUDAFIQ RIYAN PRATAMA,Manajemen Informasi Kesehatan (D4)
DESSYA PUTRI AYU,Gizi Klinik (D4)
KHAFIDURROHMAN AGUSTIANTO,Manajemen Informatika (D3)
NOOR ASRIANTO,Manajemen Bisnis Unggas (D4)
ROSSALINA ADI WIJAYANTI,Manajemen Informasi Kesehatan (D4)
NADHIFAH AL INDIS,Teknologi Industri Pangan (D3)
ERY SETIYAWAN JULLEV ATMADJI,Teknik Informatika (D4)
RIZKY NIRMALA KUSUMANINGTYAS,Pengelolaan Perkebunan Kopi (D4)
DINA FITRIYAH,Gizi Klinik (D4)
MAS'UD HERMANSYAH,Bisnis Digital (D4)
DHYANI AYU PERWIRANINGRUM,Promosi Kesehatan (D4)
ALFI HIDAYATU MIQAWATI,Bahasa Inggris (D3)
DATIK LESTARI,Manajemen Agribisnis (Kampus. Kab Ngawi) (D4)
ALDITYA PUTRI YULINARSARI,Teknologi Pakan Ternak (D4)
RIZAL,Agribisnis (S2)
DWI PUTRO SARWO SETYOHADI,Manajemen Informatika (D3)
ANGGA PRASETYO,Teknologi Rekayasa Pangan (D4)
IRMA HARLIANINGTYAS,Produksi Tanaman Perkebunan (D3)
MUHAMMAD BAHANAN,Bisnis Digital (D4)
EDI SISWADI,Produksi Tanaman Hortikultura (D3)
AGUS PURWADI,Teknik Komputer (D3)
ELIYATININGSIH,Produksi Tanaman Hortikultura (D3)
MICHAEL JOKO WIBOWO,Teknik Energi Terbarukan (D4)
MUHAMMAD AINUL FIKRI,Teknik Informatika (Kampus Kab Nganjuk) (D4)
ANDRI PERMANA WICAKSONO,Manajemen Informasi Kesehatan (D4)
AMAL BAHARIAWAN,Keteknikan Pertanian (D3)
MUHAMMAD HAFIDH FIRMANSYAH,Teknologi Rekayasa Komputer (D4)
DIAN GALUH PRATITA,Pengelolaan Perkebunan Kopi (D4)
YANI SUBAKTILAH,Teknologi Industri Pangan (D3)
GANDU EKO JULIANTO SUYOSO,Manajemen Informasi Kesehatan (D4)
REIKHA RAHMASARI,Teknologi Pakan Ternak (D4)
SULUH NUSANTORO,Produksi Ternak (D3)
RAMADHAN TAUFIKA,Produksi Tanaman Perkebunan (D3)
DONY SETIAWAN HENDYCA PUTRA,Manajemen Informasi Kesehatan (D4)
DYAH NUNING ERAWATI,Produksi Tanaman Perkebunan (D3)
SRI SUNDARI,Agribisnis (S2)
MIRA ANDRIANI,Teknologi Pakan Ternak (D4)
SHOKHIRUL IMAM,Teknologi Pakan Ternak (D4)
UYSTKA HIKMATUL KAMILIYAH NH,Destinasi Pariwisata (D4)
AGATHA WIDIYAWATI,Gizi Klinik (D4)
RIZAL PERLAMBANG CNAWP,Manajemen Agribisnis (D3)
DEWI KURNIAWATI,Manajemen Agroindustri (D4)
FADIL ROHMAN,Produksi Tanaman Hortikultura (D3)
PRILLINAYA YUDHISTIRA,Akuntansi Sektor Publik (D4)
ILHAM MUHKLISIN,Teknologi Produksi Tanaman Pangan (D4)
BUDI PRASETYO,Manajemen Bisnis Unggas (D4)
BETY ETIKASARI,Teknik Informatika (D4)
ANANG SUPRIADI SALEH,Keteknikan Pertanian (D3)
RAHMAWATI,Budidaya Tanaman Perkebunan (D4)
MOKHAMAD FATONI KURNIANTO,Teknologi Industri Pangan (D3)
DICKY ADI TYAGITA,Mesin Otomotif (D4)
LULUS MUALIMIN,Teknologi Rekayasa Pengemasan (D4)
NETTY ERMAWATI,Teknik Produksi Benih (D4)
RATIH AYUNINGHEMI,Teknik Informatika (D4)
FITRIYA ANDRIYANI,Akuntansi Sektor Publik (D4)
IDA ADHA ANROSANA PONGOH,Manajemen Agribisnis (D3)
PUTRI SATIKA DEWI,Keteknikan Pertanian (D3)
AHMAD ROFII,Teknologi Rekayasa Mekatronika (D4)
YULIA RACHMAWATI,Teknologi Rekayasa Pangan (D4)
NUR MUHAMAD,Teknologi Pakan Ternak (D4)
LINTANG ANIS BENA KINANTI,Manajemen Agroindustri (D4)
AHMAD NANDA NAJAMUDDIN,Unknown
PUTRI SANTIKA,Teknik Produksi Benih (D4)
NODISTYA SEPTIAN INDRASTANA,Bahasa Inggris (D3)
ELY MULYADI,Manajemen Informatika (D3)
PARAMITA ANDINI,Manajemen Agroindustri (D4)
AGUNG WAHYONO,Teknologi Rekayasa Pangan (D4)
MOCHAMMAD CHOIRUR ROZIQIN,Manajemen Informasi Kesehatan (D4)
ARYANTI CANDRA DEWI,Manajemen Bisnis Unggas (D4)
STEPHANI NESYA RENAMASTIKA,Gizi Klinik (D4)
ADE GALUH RAKHMADEVI,Teknologi Industri Pangan (D3)
NISA BUDI ARIFIANA,Budidaya Tanaman Perkebunan (D4)
IRENE RATRI ANDIA SASMITA,Teknologi Industri Pangan (D3)
RIDWAN ISKANDAR,Unknown
LELI KURNIASARI,Teknik Produksi Benih (D4)
KHOMSATUN NIMAH,Teknik Informatika (Kampus Kab Nganjuk) (D4)
DEDY EKO RAHMANTO,Teknik Energi Terbarukan (D4)
ATMA DEHARJA,Manajemen Informasi Kesehatan (D4)
ADRIADI NOVAWAN,Bahasa Inggris (D3)
ANANG FEBRI PRASETYO,Manajemen Bisnis Unggas (D4)
DESCHA GIATRI CAHYANINGRUM,Produksi Tanaman Perkebunan (D3)
HANING HASBIYATI,Teknik Energi Terbarukan (D4)
TANTI KUSTIARI,Agribisnis (S2)
FRENGKY HERMAWAN HADI PRASETYO,Teknologi Industri Pangan (D3)
ZORA OLIVIA,Gizi Klinik (D4)
MULIA WINIRSYA APRILIYANTI,Teknologi Industri Pangan (D3)
SUSTIN FARLINDA,Unknown
WARIDAD UMAIS AL AYYUBI,Manajemen Agribisnis (D4)
NANIK ANITA MUKHLISOH,Teknologi Rekayasa Komputer (D4)
IKA PUSPITASARI DYAH RAHMADHANI,Manajemen Agribisnis (Kampus Kab. Nganjuk) (D3)
AKBAR MAULANA FIRMANSYAH,Unknown
INDAH MUFLIHATIN,Manajemen Informasi Kesehatan (D4)
FIRDA DIARTIKA,Destinasi Pariwisata (D4)
LUKIE PERDANASARI,Manajemen Informatika (D3)
MEIGA RAHMANITA,Bahasa Inggris (D3)
VERONIKA VESTINE,Manajemen Informasi Kesehatan (D4)
DICKY ANDRIYANTO,Manajemen Pemasaran Internasional (D4)
DESSY PUTRI ANDINI,Akuntansi Sektor Publik (D4)
JUMIATUN,Teknologi Produksi Tanaman Pangan (D4)
CAHYANING NUR KARIMAH,Mesin Otomotif (D4)
GAYUH SYAIKHULLAH,Manajemen Bisnis Unggas (D4)
CICIK RETNO WATI,Manajemen Agribisnis (Kampus. Kab Ngawi) (D4)
ARISANTY NUR SETIA RESTUTI,Gizi Klinik (D4)
ADI SUCIPTO,Teknik Informatika (Kampus Kab. Sidoarjo) (D4)
ARISONA AHMAD,Akuntansi Sektor Publik (D4)
NURUL SJAMSIJAH,Teknik Produksi Benih (D4)
HUDA OKTAFA,Gizi Klinik (D4)
TITIK ISMAILIA,Bahasa Inggris (D3)
RASMIYANA,Teknologi Rekayasa Pangan (D4)
MOHAMMAD MARDIYANTO,Teknologi Industri Pangan (D3)
ISWAHYONO,Keteknikan Pertanian (D3)
SITI DIAH AYU FEBRIANI,Teknik Energi Terbarukan (D4)
MAYA WEKA SANTI,Manajemen Informasi Kesehatan (D4)
NANTIL BAMBANG EKO SULISTYONO,Teknik Produksi Benih (D4)
YOSWENITA SUSINDRA,Promosi Kesehatan (D4)
BAKHTIYAR HADI PRAKOSO,Manajemen Informasi Kesehatan (Kampus Kab. Ngawi) (D4)
TRI RINI KUSPARWANTI,Produksi Tanaman Hortikultura (D3)
ANGGA RAHAGIYANTO,Manajemen Informasi Kesehatan (Kampus Kab. Ngawi) (D4)
VICTOR PHOA,Teknik Komputer (D3)
RINDIANI,Gizi Klinik (D4)
DAMANHURI,Unknown
RESTI PRANATA PUTRI,Teknologi Rekayasa Pangan (D4)
RENATA KENANGA RINDA,Bahasa Inggris (D3)
ADHININGSIH YULIANTI,Gizi Klinik (D4)
HELDA JAYA PUSPITA,Unknown
BERLINA YUDHA PRATIWI,Akuntansi Sektor Publik (D4)
MOCH ROSYADI ADNAN,Teknik Produksi Benih (D4)
AHMAD FAHRIYANNUR ROSYADY,Teknik Komputer (D3)
ERFAN KUSTIAWAN,Produksi Ternak (D3)
LELY DIAN UTAMI,Produksi Media (D4)
AKAS BAGUS SETIAWAN,Manajemen Informatika (D3)
MUHAMMAD IHSAN ALFARIZI,Keteknikan Pertanian (D3)
NADIYAH ZUHROH,Teknologi Rekayasa Pangan (D4)
RATIH PUTRI DAMAYATI,Gizi Klinik (D4)
IKA WIDIASTUTI,Manajemen Informatika (D3)
FIRDA AGUSTIN,Gizi Klinik (D4)
ABI BAKRI,Teknologi Industri Pangan (D3)
SUGIYARTO,Produksi Tanaman Perkebunan (D3)
FITRI WIJAYANTI,Bahasa Inggris (D3)
DIDIT RAHMAT HARTADI,Teknik Informatika (D4)
WARIT ABI NURAZAQ,Teknik Energi Terbarukan (D4)
SURYA DEWI PUSPITA,Gizi Klinik (D4)
AHMAD FAHRIANNUR,Teknik Energi Terbarukan (D4)
MOCHAMAD RIZAL UMAMI,Unknown
SITI DJAMILA,Keteknikan Pertanian (D3)
RUSDIARTI,Gizi Klinik (D4)
NUZULA AFIANAH,Teknologi Rekayasa Mekatronika (D4)
RR LILIEK DWI SOELAKSINI,Teknologi Produksi Tanaman Pangan (D4)
RIZQI FEBRIAN PRAMUDITA,Produksi Media (D4)
MOCHAMMAD RIFKI ULIL ALBAAB,Teknik Informatika (Kampus Kab. Sidoarjo) (D4)
DIAN HARTATIE,Produksi Tanaman Perkebunan (D3)
IRMA WARDATI,Budidaya Tanaman Perkebunan (D4)
UYUN ERMA MALIKA,Manajemen Agribisnis (D3)
JULIA AGUSTINA,Manajemen Agroindustri (Kampus Kab Sidoarjo) (D4)
LINDA EKADEWI WIDYATAMI,Manajemen Agribisnis (D3)
DIDIEK HERMANUADI,Teknologi Rekayasa Pangan (D4)
TEGAR WAHYU YUDHA PRATAMA,Manajemen Informasi Kesehatan (D4)
TITIEN FATIMAH,Budidaya Tanaman Perkebunan (D4)
CINDIAH SYAHNAZ,Manajemen Agroindustri (Kampus Kab Sidoarjo) (D4)
AVISENNA HARKAT,Akuntansi Sektor Publik (D4)
ARDHITYA ALAM WIGUNA,Manajemen Pemasaran Internasional (D4)
HABLANA RIZKA,Destinasi Pariwisata (D4)
JULIEN ARIEF WICAKSONO,Produksi Media (D4)
MOH. MUNIH DIAN WIDIANTA,Teknik Informatika (D4)
FEBY ERAWANTINI,Unknown
I PUTU DODY LESMANA,Bisnis Digital (D4)
MIFTAHUL JANNAH,Gizi Klinik (D4)
BENI WIDIAWAN,Teknik Komputer (D3)
YOHAN YUANTA,Gizi Klinik (D4)
PURBOWO,Manajemen Agribisnis (Kampus Kab. Nganjuk) (D3)
DYAH LAKSITO RUKMI,Produksi Ternak (D3)
EKA YUNIAR,Bisnis Digital (D4)
ANDI MUHAMMAD ISMAIL,Manajemen Agroindustri (D4)
PRAMUDITHA SHINTA DEWI PUSPITASARI,Manajemen Informatika (D3)
SALIHATI HANIFA,Manajemen Informasi Kesehatan (Kampus Kab. Ngawi) (D4)
AUDHA FITRAH AULINA,Mesin Otomotif (D4)
R ABDOEL DJAMALI,Manajemen Agroindustri (D4)
FENDIK EKO PURNOMO,Teknologi Rekayasa Mekatronika (D4)
CANGGIH NAILIL MAGHFIROH,Manajemen Agribisnis (D3)
SEKAR AYU WULANDARI,Manajemen Agroindustri (Kampus Kab Sidoarjo) (D4)
MAHINDRA DEWI NUR AISYAH,Teknologi Produksi Tanaman Pangan (D4)
TRIONO BAMBANG IRAWAN,Budidaya Tanaman Perkebunan (D4)
M  RIZAL PERMADI,Gizi Klinik (D4)
